Order Date,Sales,Profit,Quantity,Discount,Month
2016-11-08,261.96,41.9136,2,0.0,11
2016-11-08,731.94,219.582,3,0.0,11
2016-11-08,261.96,41.9136,2,0.0,11
2016-11-08,731.94,219.582,3,0.0,11
2016-06-12,14.62,6.8714,2,0.0,6
2015-10-11,957.5775,-383.031,5,0.45,10
2015-10-11,22.368,2.5164,2,0.2,10
2015-10-11,957.5775,-383.031,5,0.45,10
2015-10-11,22.368,2.5164,2,0.2,10
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2014-06-09,48.86,14.1694,7,0.0,6
2014-06-09,7.28,1.9656,4,0.0,6
2014-06-09,907.152,90.7152,6,0.2,6
2014-06-09,18.504,5.7825,3,0.2,6
2014-06-09,114.9,34.47,5,0.0,6
2014-06-09,1706.184,85.3092,9,0.2,6
2014-06-09,911.424,68.3568,4,0.2,6
2017-04-15,15.552,5.4432,3,0.2,4
2016-12-05,407.976,132.5922,3,0.2,12
2015-11-22,68.81,-123.858,5,0.8,11
2015-11-22,2.544,-3.816,3,0.8,11
2015-11-22,68.81,-123.858,5,0.8,11
2015-11-22,2.544,-3.816,3,0.8,11
2014-11-11,665.88,13.3176,6,0.0,11
2014-05-13,55.5,9.99,2,0.0,5
2014-08-27,8.56,2.4824,2,0.0,8
2014-08-27,213.48,16.011,3,0.2,8
2014-08-27,22.72,7.384,4,0.2,8
